sample_id,seed,FW_THICK_CM,LI6_ENRICH_ATOM_FRAC,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,tbr_total,tbr_total_std,tbr_cell_2,tbr_cell_2_std,tbr_cell_3,tbr_cell_3_std,tbr_cell_4,tbr_cell_4_std,tbr_cell_5,tbr_cell_5_std,tbr_cell_6,tbr_cell_6_std,tbr_cell_7,tbr_cell_7_std
s0000,20260414,3.036258402190749,0.3097307047282668,69.55642838376954,19.525392418005467,17.25014525424891,0.8856780398176204,0.0001615479319811,0.0,0.0,1.5919596140978713e-06,1.9293696144994314e-10,0.8856764477796822,0.000161547931981,1.8598351523008627e-11,6.797164887661391e-13,2.134197473161815e-11,9.366368823156873e-13,3.838373723783159e-11,7.790923935751305e-12
s0001,20260414,2.325181304144885,0.7889072723177698,51.96061591229143,16.852680191144763,21.576920509356214,0.9667980531749352,0.0001561340800508,0.0,0.0,1.326993043591528e-06,1.6250605219085834e-10,0.966796725505955,0.0001561340800507,1.862781662458616e-10,2.7174468090263504e-12,1.4575605469192384e-10,2.759400239742741e-12,3.43902444100205e-10,2.5102895230693144e-11
s0002,20260414,2.0706263880242206,0.834318054074431,48.735740562424304,22.47185635640019,26.995903771267056,0.981753077428599,0.0001661338620283,0.0,0.0,1.22028681645492e-06,1.5049906489942652e-10,0.98175185630548,0.0001661338620282,3.0459294313112424e-10,2.7212066190292192e-12,2.4983583268405806e-10,3.831758329046793e-12,2.818736915361362e-10,1.9297740803091896e-11
s0003,20260414,1.829681990839949,0.7055179851183305,79.30451910596867,36.765387750947376,28.903702553301585,1.0030884957829562,0.0001928329627764,0.0,0.0,1.1129665748777924e-06,1.3991893228517214e-10,1.0030873828102949,0.0001928329627764,3.2097729239793848e-12,2.681055772764028e-13,2.876659260365484e-12,2.7569016281914314e-13,0.0,0.0
s0004,20260414,4.219987663149485,0.3886413406790394,71.02317835736358,40.530791145697656,28.63608935621287,0.8143216250329914,0.000167627846647,0.0,0.0,1.941296139105896e-06,2.5257345851145757e-10,0.8143196837129303,0.0001676278466468,1.1134105446018894e-11,5.452423958651589e-13,1.2566996368153312e-11,7.998312378972212e-13,2.2096225051077599e-13,2.2096225051077599e-13
s0005,20260414,3.3173123386638865,0.4028571513627561,51.269095909541306,29.088487725675623,19.58489125338956,0.8765893661953801,0.0001842600501434,0.0,0.0,1.683846250618267e-06,2.0839538436231875e-10,0.8765876818214692,0.0001842600501433,2.3129020043863824e-10,2.871580161341277e-12,2.0666102704943864e-10,3.841168553529534e-12,8.970908048352931e-11,1.1220460250693569e-11
s0006,20260414,2.4064138372230497,0.8441104944507432,70.8725221584133,22.95238444258668,22.95359915708031,0.9628147383032968,0.000164906677862,0.0,0.0,1.3594136828195104e-06,1.6107064131918563e-10,0.9628133788593176,0.0001649066778619,9.902509531208624e-12,6.107264346388837e-13,9.136593380225391e-12,6.403677640205325e-13,1.1257374836729386e-11,4.078767731516349e-12
s0007,20260414,4.176921617314626,0.5643198610909546,56.90830109524804,37.35260459379128,13.340465232209,0.8348537039581888,0.0001358409188219,0.0,0.0,1.9298007734476043e-06,2.4864046325202833e-10,0.8348517740027404,0.0001358409188216,7.883092061945165e-11,1.722049627808124e-12,6.943290079234648e-11,2.177050513168127e-12,6.4112352862238095e-12,3.1914846046216264e-12
s0008,20260414,4.750514683150168,0.665317677837288,37.17064548471494,14.214845370757908,16.895793264743254,0.7913128894529629,0.0001533163008071,0.0,0.0,2.0686976887437164e-06,2.7661044881425797e-10,0.7913108152852858,0.0001533163008068,1.3500573745228415e-09,7.083357801557395e-12,9.323650156586895e-10,7.587025078976765e-12,3.187565924500322e-09,6.725383646321224e-11
s0009,20260414,2.5405827603368696,0.4768502085866832,42.58796797441421,26.25743411983212,22.564778187825475,0.9340771040826232,0.0001853292834229,0.0,0.0,1.4127133911924866e-06,1.6761640147722686e-10,0.9340756892472206,0.0001853292834229,9.12775220666485e-10,5.82345670812828e-12,7.510315169632158e-10,6.098315680666328e-12,4.5820460427448937e-10,3.163097148699091e-11
s0010,20260414,2.849213481162657,0.7371228090003137,44.852608533711,33.59068446056969,25.717734477962622,0.9285150169533084,0.0001706955253071,0.0,0.0,1.52596198220323e-06,1.8415844366207906e-10,0.9285134899142352,0.000170695525307,5.267770102358123e-10,4.361224778326401e-12,4.3561884574885066e-10,5.755945278945607e-12,1.1469534920510923e-10,1.480715221867355e-11
s0011,20260414,2.299058690429208,0.5559130832294705,43.00984998012557,28.806553758087517,16.315709084780114,0.9580559320006048,0.0001754705420538,0.0,0.0,1.317001300504386e-06,1.5837605541657124e-10,0.958054613110508,0.0001754705420537,8.48239724227473e-10,5.790804130784299e-12,6.993551875494302e-10,6.667530995654375e-12,3.4120133263270305e-10,2.6827979285978248e-11
s0012,20260414,2.5824256914703447,0.8894879609640909,36.874644877162766,25.39638246974851,19.764929917233083,0.9380455218632696,0.0001726916353064,0.0,0.0,1.4275905163879906e-06,1.7042292940481107e-10,0.93804409024139,0.0001726916353063,1.7595917790250086e-09,7.778508239832147e-12,1.3556853664289715e-09,1.192921241664324e-11,9.160859715698151e-10,4.2156331657814156e-11
s0013,20260414,3.61511200642224,0.7770366989539749,48.92277597058579,12.615074987634651,20.47450007737051,0.880071904276623,0.000171923821239,0.0,0.0,1.7739473224219827e-06,2.2617500647387568e-10,0.8800701290587994,0.0001719238212388,2.4569332216300137e-10,2.866207496926915e-12,1.7529445525030495e-10,3.118982839373768e-12,8.495133530255988e-10,3.801242723163715e-11
s0014,20260414,3.95751516717728,0.6857448877094994,34.28813978953832,21.99424181090204,24.33742236946955,0.8398840630195721,0.000129271399068,0.0,0.0,1.8712853344773303e-06,2.4276141039445666e-10,0.8398821857053997,0.0001292713990677,2.353577935587386e-09,9.421432680833286e-12,1.7742061817354106e-09,1.2522633261657135e-11,1.9010537862459796e-09,5.044118447146159e-11
