qhat,theta,n_safe,n_uncertain,n_risk,frac_safe,frac_uncertain,frac_risk
0.0176281620525273,1.4,131,3,10,0.9097222222222222,0.020833333333333332,0.06944444444444445
0.0176281620525273,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0176281620525273,1.5,67,17,60,0.4652777777777778,0.11805555555555555,0.4166666666666667
0.0095336357166369,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0095336357166369,1.45,107,4,33,0.7430555555555556,0.027777777777777776,0.22916666666666666
0.0095336357166369,1.5,79,5,60,0.5486111111111112,0.034722222222222224,0.4166666666666667
0.0152522698564514,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0152522698564514,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0152522698564514,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0172398159612265,1.4,131,3,10,0.9097222222222222,0.020833333333333332,0.06944444444444445
0.0172398159612265,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0172398159612265,1.5,69,15,60,0.4791666666666667,0.10416666666666667,0.4166666666666667
0.0322794729615265,1.4,124,10,10,0.8611111111111112,0.06944444444444445,0.06944444444444445
0.0322794729615265,1.45,94,17,33,0.6527777777777778,0.11805555555555555,0.22916666666666666
0.0322794729615265,1.5,46,38,60,0.3194444444444444,0.2638888888888889,0.4166666666666667
0.0355260594527793,1.4,120,14,10,0.8333333333333334,0.09722222222222222,0.06944444444444445
0.0355260594527793,1.45,92,19,33,0.6388888888888888,0.13194444444444445,0.22916666666666666
0.0355260594527793,1.5,38,46,60,0.2638888888888889,0.3194444444444444,0.4166666666666667
0.029515957186099,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.029515957186099,1.45,95,16,33,0.6597222222222222,0.1111111111111111,0.22916666666666666
0.029515957186099,1.5,50,34,60,0.3472222222222222,0.2361111111111111,0.4166666666666667
0.0163166249089685,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0163166249089685,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0163166249089685,1.5,71,13,60,0.4930555555555556,0.09027777777777778,0.4166666666666667
0.0172575471397171,1.4,131,3,10,0.9097222222222222,0.020833333333333332,0.06944444444444445
0.0172575471397171,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0172575471397171,1.5,69,15,60,0.4791666666666667,0.10416666666666667,0.4166666666666667
0.0271062593577822,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0271062593577822,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0271062593577822,1.5,54,30,60,0.375,0.20833333333333334,0.4166666666666667
