sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,ci_width
0,train,1.3510297651230865,52.27020690228534,30.277144923798023,27.621491710819303,0.4047782011306727,1.523483663413,1.523433924602355,1.4882497333503217,1.5586181158543881,0.0703683825040664
1,calibration,3.9775859770425326,30.33259243622153,46.820383200100416,18.42385504180276,0.415987624940482,1.430557311347,1.4189635113572037,1.3837793201051705,1.4541477026092369,0.0703683825040664
2,train,3.469996423096529,36.43026163046742,36.06183894130214,18.787852976501235,0.7352641913591853,1.509457962839,1.5094828968864529,1.4742987056344197,1.544667088138486,0.0703683825040664
3,train,3.9183024670942106,61.26959591174291,21.280625948757727,16.262787282875472,0.6702520505765015,1.475482659406,1.4749388134793695,1.4397546222273363,1.5101230047314027,0.0703683825040664
4,train,1.7163553716014883,52.67269242375579,38.65474133300907,19.210610483868287,0.6801283943686476,1.541757665987,1.541734476093768,1.5065502848417347,1.576918667345801,0.0703683825040664
5,train,1.4072812399565156,65.0852627031752,26.40708962369608,15.730159012927558,0.5229770120029185,1.530144345762,1.5298594421321168,1.4946752508800836,1.56504363338415,0.0703683825040664
6,train,4.485745872967728,42.73439196527342,14.460218468012798,26.12565327681101,0.4902983354989634,1.405236138648,1.4051580001773172,1.369973808925284,1.4403421914293504,0.0703683825040664
7,train,2.559048749778933,68.08290085609512,29.44037557254266,20.84706997803025,0.7800334655362773,1.546242007217,1.546172744505096,1.5109885532530627,1.581356935757129,0.0703683825040664
8,train,3.050744008920669,40.89128656744122,20.391489866001223,11.084641142158713,0.7512315105299012,1.531327912874,1.5318976224958378,1.4967134312438046,1.567081813747871,0.0703683825040664
9,train,4.631149382073525,37.859442769574805,28.575386430353745,12.475529112038132,0.7774180630829814,1.431598630507,1.4314318516674662,1.396247660415433,1.4666160429194994,0.0703683825040664
10,train,4.225296008094517,38.17246184265824,19.659997763870813,10.12973290461358,0.5141704236901158,1.430773040993,1.4307613724496508,1.3955771811976176,1.465945563701684,0.0703683825040664
11,train,4.221376206077714,41.8390569351453,13.604918305327638,13.866065738757626,0.5837473281117096,1.442252158639,1.4381691625160926,1.4029849712640594,1.4733533537681258,0.0703683825040664
12,train,1.919692135575972,33.34544546744215,13.998899480313868,21.197365275607048,0.396793262490802,1.52603360776,1.5260234921502718,1.4908393008982386,1.561207683402305,0.0703683825040664
13,train,3.8409224062830094,74.5293331370902,10.808251713781022,10.57114299268152,0.5179730442000953,1.461190605577,1.4611715883230616,1.4259873970710284,1.4963557795750948,0.0703683825040664
14,test,1.6000559564191188,32.85954527737181,10.03542959226458,12.970329064788688,0.7216412239154828,1.539771034924,1.5443090955424532,1.50912490429042,1.5794932867944864,0.0703683825040664
15,train,4.023277989019293,68.32568121992935,30.92906883810402,28.16837037428386,0.8894694239114147,1.486574217163,1.4864609153114317,1.4512767240593984,1.5216451065634649,0.0703683825040664
16,train,1.1668038144820327,49.879457083260334,41.92121421305072,20.02947410651937,0.5412441985248744,1.521171393966,1.5212338898454234,1.4860496985933902,1.5564180810974566,0.0703683825040664
17,train,4.388254005323143,32.13572063357954,18.80268582787181,17.459117148881035,0.5287616298211975,1.419826781223,1.4201226542691725,1.3849384630171393,1.4553068455212057,0.0703683825040664
18,train,3.78910755092172,76.94611851555496,28.28621077802537,14.411207262343725,0.6252665588273629,1.479413972985,1.4797058673698005,1.4445216761177673,1.5148900586218337,0.0703683825040664
19,train,2.836667493816968,71.03610127193784,30.73254599856193,24.246131206334297,0.8313604406424222,1.542349775834,1.54224681397113,1.5070626227190969,1.5774310052231633,0.0703683825040664
20,test,4.552477872932693,55.9040656620228,17.67597774260239,24.523660349891077,0.5747812742679754,1.413675161236,1.4297791092127727,1.3945949179607395,1.464963300464806,0.0703683825040664
21,calibration,3.284396920378341,79.40586642199284,32.97002103610011,19.05074161359064,0.7388077337401184,1.51933090721,1.52120741807507,1.486023226823037,1.5563916093271033,0.0703683825040664
22,train,1.291460165888437,42.28003646234613,27.898181701939063,25.686589673371152,0.4257083391741412,1.522542723426,1.5225806679072527,1.4873964766552195,1.5577648591592859,0.0703683825040664
23,train,2.0082420946992827,59.98588682760588,31.3374646381376,17.03616810663013,0.5084500349845809,1.536171294597,1.5364128537110215,1.5012286624589883,1.5715970449630547,0.0703683825040664
24,train,2.26940750823547,40.254743200801805,26.285719678835584,10.356155559747544,0.7133398461171949,1.546609389448,1.5464126534516278,1.5112284621995946,1.581596844703661,0.0703683825040664
25,train,4.940031264187009,48.33318744485935,28.636040089503368,12.548607504932985,0.7014891164853378,1.396924564211,1.3968341720320738,1.3616499807800406,1.432018363284107,0.0703683825040664
26,train,1.7935804773488515,34.76612163504309,12.66033653990891,23.07176136234164,0.69304633987317,1.54364444703,1.543771432224582,1.5085872409725487,1.5789556234766151,0.0703683825040664
27,train,3.589665244774232,44.42369908048821,41.645534521279615,28.72961335063049,0.8501494150429036,1.511006751434,1.5110851593701236,1.4759009681180904,1.5462693506221568,0.0703683825040664
28,train,3.751476173796251,64.25299750023254,16.35489462504514,16.922586510053947,0.4855598485302813,1.462350835869,1.4658432544353126,1.4306590631832794,1.5010274456873458,0.0703683825040664
