region,feature,grid_value,pdp_log10_h3
cell_2,FW_THICK_CM,1.1594417780493855,0.13905184615481167
cell_2,FW_THICK_CM,1.2335757497775286,0.13103603695511945
cell_2,FW_THICK_CM,1.3077097215056714,0.13014494230347987
cell_2,FW_THICK_CM,1.3818436932338145,0.12088116106090549
cell_2,FW_THICK_CM,1.4559776649619574,0.11079150885750558
cell_2,FW_THICK_CM,1.5301116366901004,0.10506945381555528
cell_2,FW_THICK_CM,1.6042456084182435,0.10495957879928791
cell_2,FW_THICK_CM,1.6783795801463863,0.09105161629910584
cell_2,FW_THICK_CM,1.7525135518745292,0.08804829643414774
cell_2,FW_THICK_CM,1.8266475236026722,0.08083574434795247
cell_2,FW_THICK_CM,1.9007814953308153,0.08083574434795247
cell_2,FW_THICK_CM,1.9749154670589582,0.0688091175168656
cell_2,FW_THICK_CM,2.049049438787101,0.06435418144400827
cell_2,FW_THICK_CM,2.123183410515244,0.060790240180368625
cell_2,FW_THICK_CM,2.197317382243387,0.055224522898830744
cell_2,FW_THICK_CM,2.27145135397153,0.047434855726739764
cell_2,FW_THICK_CM,2.3455853256996733,0.040687361872374525
cell_2,FW_THICK_CM,2.4197192974278163,0.037536405819338925
cell_2,FW_THICK_CM,2.493853269155959,0.034744689797663424
cell_2,FW_THICK_CM,2.567987240884102,0.025368676577372858
cell_2,FW_THICK_CM,2.6421212126122446,0.021439887561728096
cell_2,FW_THICK_CM,2.7162551843403877,0.01594263143495375
cell_2,FW_THICK_CM,2.7903891560685308,0.012029739589530962
cell_2,FW_THICK_CM,2.864523127796674,0.004136916833183473
cell_2,FW_THICK_CM,2.938657099524817,0.0016775760572931171
cell_2,FW_THICK_CM,3.01279107125296,-0.0058248070118722866
cell_2,FW_THICK_CM,3.086925042981103,-0.009932225896204266
cell_2,FW_THICK_CM,3.1610590147092457,-0.015838346312488184
cell_2,FW_THICK_CM,3.2351929864373887,-0.01917102224138727
cell_2,FW_THICK_CM,3.309326958165532,-0.02466998954260471
cell_2,FW_THICK_CM,3.3834609298936744,-0.029989704883458562
cell_2,FW_THICK_CM,3.4575949016218175,-0.03550800456826048
cell_2,FW_THICK_CM,3.5317288733499606,-0.03821086458678718
cell_2,FW_THICK_CM,3.6058628450781036,-0.04362058724605011
cell_2,FW_THICK_CM,3.6799968168062467,-0.046215471383418874
cell_2,FW_THICK_CM,3.7541307885343893,-0.05214175266811299
cell_2,FW_THICK_CM,3.8282647602625324,-0.05808786406616226
cell_2,FW_THICK_CM,3.9023987319906754,-0.059690414128523245
cell_2,FW_THICK_CM,3.9765327037188185,-0.0658356183361092
cell_2,FW_THICK_CM,4.050666675446961,-0.07178476484735852
cell_2,FW_THICK_CM,4.124800647175104,-0.07322215330131858
cell_2,FW_THICK_CM,4.198934618903247,-0.08169121163600954
cell_2,FW_THICK_CM,4.27306859063139,-0.08761193906699812
cell_2,FW_THICK_CM,4.347202562359533,-0.0877236311780582
cell_2,FW_THICK_CM,4.421336534087676,-0.09552581220939858
cell_2,FW_THICK_CM,4.495470505815819,-0.09652237180254514
cell_2,FW_THICK_CM,4.569604477543962,-0.10378912344844253
cell_2,FW_THICK_CM,4.643738449272105,-0.10679127354778599
cell_2,FW_THICK_CM,4.717872421000248,-0.11099140046839437
cell_2,FW_THICK_CM,4.792006392728391,-0.11408300464173027
cell_2,PBLI_THICK_CM,32.431983494597205,-9.462899769891516e-05
cell_2,PBLI_THICK_CM,33.35124663720399,-9.462899769891516e-05
cell_2,PBLI_THICK_CM,34.27050977981078,-0.00012097935757544845
cell_2,PBLI_THICK_CM,35.18977292241757,-0.00012097935757544845
cell_2,PBLI_THICK_CM,36.109036065024355,-0.00011343326242339083
cell_2,PBLI_THICK_CM,37.02829920763114,-0.000106815818481217
cell_2,PBLI_THICK_CM,37.94756235023793,-0.000106815818481217
cell_2,PBLI_THICK_CM,38.86682549284472,-0.00011265622051521984
cell_2,PBLI_THICK_CM,39.786088635451506,-0.00011265622051521984
cell_2,PBLI_THICK_CM,40.705351778058294,-0.00010183822638746128
cell_2,PBLI_THICK_CM,41.62461492066508,-8.009654238341254e-05
cell_2,PBLI_THICK_CM,42.54387806327187,-8.009654238341254e-05
cell_2,PBLI_THICK_CM,43.46314120587866,-8.009654238341254e-05
cell_2,PBLI_THICK_CM,44.382404348485444,-2.7657941281893975e-05
cell_2,PBLI_THICK_CM,45.30166749109223,-1.7584184947435144e-05
cell_2,PBLI_THICK_CM,46.22093063369902,3.53771191787215e-06
cell_2,PBLI_THICK_CM,47.14019377630581,3.53771191787215e-06
cell_2,PBLI_THICK_CM,48.059456918912595,3.53771191787215e-06
cell_2,PBLI_THICK_CM,48.97872006151938,3.53771191787215e-06
cell_2,PBLI_THICK_CM,49.89798320412616,3.53771191787215e-06
cell_2,PBLI_THICK_CM,50.81724634673296,8.538284488799809e-06
