theta,frac_safe,frac_uncertain,frac_risk
1.05,100.0,0.0,0.0
1.055,100.0,0.0,0.0
1.06,100.0,0.0,0.0
1.065,100.0,0.0,0.0
1.07,100.0,0.0,0.0
1.075,100.0,0.0,0.0
1.08,100.0,0.0,0.0
1.085,100.0,0.0,0.0
1.09,100.0,0.0,0.0
1.095,100.0,0.0,0.0
1.1,100.0,0.0,0.0
1.105,100.0,0.0,0.0
1.11,100.0,0.0,0.0
1.115,100.0,0.0,0.0
1.12,100.0,0.0,0.0
1.125,100.0,0.0,0.0
1.1300000000000001,100.0,0.0,0.0
1.135,100.0,0.0,0.0
1.1400000000000001,100.0,0.0,0.0
1.145,100.0,0.0,0.0
1.1500000000000001,100.0,0.0,0.0
1.155,100.0,0.0,0.0
1.1600000000000001,100.0,0.0,0.0
1.165,100.0,0.0,0.0
1.17,100.0,0.0,0.0
1.175,100.0,0.0,0.0
1.1800000000000002,100.0,0.0,0.0
1.185,100.0,0.0,0.0
1.19,100.0,0.0,0.0
1.195,100.0,0.0,0.0
1.2,100.0,0.0,0.0
1.205,100.0,0.0,0.0
1.21,100.0,0.0,0.0
1.215,100.0,0.0,0.0
1.22,100.0,0.0,0.0
1.225,100.0,0.0,0.0
1.23,100.0,0.0,0.0
1.235,100.0,0.0,0.0
1.24,100.0,0.0,0.0
1.245,100.0,0.0,0.0
1.25,100.0,0.0,0.0
1.2550000000000001,100.0,0.0,0.0
1.26,100.0,0.0,0.0
1.2650000000000001,100.0,0.0,0.0
1.27,100.0,0.0,0.0
1.2750000000000001,100.0,0.0,0.0
1.28,100.0,0.0,0.0
1.2850000000000001,100.0,0.0,0.0
1.29,100.0,0.0,0.0
1.295,100.0,0.0,0.0
1.3,100.0,0.0,0.0
1.3050000000000002,100.0,0.0,0.0
1.31,99.30555555555556,0.6944444444444444,0.0
1.315,99.30555555555556,0.6944444444444444,0.0
1.32,98.61111111111111,1.3888888888888888,0.0
1.3250000000000002,98.61111111111111,1.3888888888888888,0.0
1.33,97.91666666666666,2.083333333333333,0.0
1.335,97.91666666666666,2.083333333333333,0.0
1.34,97.91666666666666,1.3888888888888888,0.6944444444444444
1.345,95.83333333333334,3.4722222222222223,0.6944444444444444
1.35,95.83333333333334,2.7777777777777777,1.3888888888888888
1.355,95.13888888888889,3.4722222222222223,1.3888888888888888
1.36,94.44444444444444,3.4722222222222223,2.083333333333333
1.365,94.44444444444444,3.4722222222222223,2.083333333333333
1.37,93.05555555555556,4.861111111111112,2.083333333333333
1.375,92.36111111111111,3.4722222222222223,4.166666666666666
1.3800000000000001,91.66666666666666,4.166666666666666,4.166666666666666
1.385,88.88888888888889,6.944444444444445,4.166666666666666
1.3900000000000001,87.5,7.638888888888889,4.861111111111112
1.395,87.5,6.944444444444445,5.555555555555555
1.4000000000000001,83.33333333333334,9.722222222222223,6.944444444444445
1.405,82.63888888888889,10.416666666666668,6.944444444444445
1.4100000000000001,81.25,11.11111111111111,7.638888888888889
1.415,79.16666666666666,12.5,8.333333333333332
1.42,77.08333333333334,11.11111111111111,11.805555555555555
1.425,74.30555555555556,13.194444444444445,12.5
1.4300000000000002,71.52777777777779,13.88888888888889,14.583333333333334
1.435,70.13888888888889,13.194444444444445,16.666666666666664
1.44,68.75,12.5,18.75
1.445,65.97222222222221,13.88888888888889,20.13888888888889
1.4500000000000002,63.888888888888886,13.194444444444445,22.916666666666664
1.455,61.80555555555556,13.88888888888889,24.305555555555554
1.46,61.111111111111114,11.805555555555555,27.083333333333332
1.465,59.72222222222222,11.11111111111111,29.166666666666668
1.47,57.638888888888886,11.11111111111111,31.25
1.475,56.25,11.805555555555555,31.944444444444443
1.48,50.0,14.583333333333334,35.41666666666667
1.485,45.13888888888889,17.36111111111111,37.5
1.49,40.27777777777778,20.833333333333336,38.88888888888889
1.495,34.72222222222222,25.0,40.27777777777778
1.5,27.083333333333332,31.25,41.66666666666667
1.5050000000000001,22.22222222222222,35.41666666666667,42.36111111111111
1.51,14.583333333333334,36.80555555555556,48.61111111111111
1.5150000000000001,2.7777777777777777,45.83333333333333,51.388888888888886
1.52,0.0,41.66666666666667,58.333333333333336
1.5250000000000001,0.0,36.80555555555556,63.19444444444444
1.53,0.0,27.77777777777778,72.22222222222221
1.5350000000000001,0.0,23.61111111111111,76.38888888888889
1.54,0.0,15.972222222222221,84.02777777777779
1.545,0.0,8.333333333333332,91.66666666666666
1.55,0.0,0.6944444444444444,99.30555555555556
1.5550000000000002,0.0,0.0,100.0
1.56,0.0,0.0,100.0
1.565,0.0,0.0,100.0
1.57,0.0,0.0,100.0
1.5750000000000002,0.0,0.0,100.0
1.58,0.0,0.0,100.0
1.585,0.0,0.0,100.0
1.59,0.0,0.0,100.0
1.5950000000000002,0.0,0.0,100.0
1.6,0.0,0.0,100.0
