region,target,sample_id,time_s,time_yr,true,pred,ci_lower,ci_upper
cell_3,atoms_H3,14,3153600.0,0.1,2.57133e+16,2.5035607752582044e+16,1.7501830466570884e+16,3.5812348699087296e+16
cell_3,atoms_H3,14,31536000.0,1.0,2.50741e+17,2.4421945087436566e+17,1.710567009212092e+17,3.4867467842051424e+17
cell_3,atoms_H3,14,59927882.4,1.9003006849315067,8.0407e+17,7.835143296451794e+17,5.487995983309632e+17,1.1186136189354767e+18
cell_3,atoms_H3,14,91453924.8,2.8999849315068493,1.38688e+18,1.3431104254271337e+18,9.380495384864772e+17,1.9230813948287672e+18
cell_3,atoms_H3,14,119824207.2,3.799600684931507,2.38816e+18,2.3188114403941606e+18,1.6213509694472138e+18,3.3163001703055365e+18
cell_3,atoms_H3,14,148226047.2,4.700217123287671,3.40131e+18,3.313032430931458e+18,2.3109907343830636e+18,4.749557722192158e+18
cell_3,atoms_H3,14,176596329.6,5.599832876712329,4.36434e+18,4.2426225617776236e+18,2.9899044900843535e+18,6.020207756267391e+18
cell_3,atoms_H3,14,204998169.6,6.500449315068493,5.27974e+18,5.127413625452088e+18,3.6160590747311764e+18,7.270448281718459e+18
cell_3,atoms_H3,14,236524212.0,7.500133561643835,6.2439e+18,6.102573758563792e+18,4.274561047532991e+18,8.712334685266647e+18
cell_3,atoms_H3,14,264894494.4,8.399749315068494,7.32114e+18,7.140423631884807e+18,5.010350155825547e+18,1.0176065156543574e+19
cell_3,atoms_H3,14,293296334.40000004,9.300365753424659,8.65551e+18,8.4463536410669e+18,5.961294876803097e+18,1.1967347917575674e+19
cell_3,atoms_H3,14,315355396.8,9.99985403348554,9.64754e+18,9.398275647951798e+18,6.636091369518992e+18,1.3310182189562903e+19
cell_3,atoms_H3,14,316564696.8,10.038200684931507,9.62678e+18,9.377621813787159e+18,6.618310866390667e+18,1.3287346674662205e+19
cell_3,atoms_H3,14,6622551705.6,209.99973698630137,126597000000000.0,121918382971399.73,85702613762748.95,173438025443532.34
cell_3,atoms_H3,20,3153600.0,0.1,1.67684e+16,1.7442797679508176e+16,1.2193867665064492e+16,2.4951163916592056e+16
cell_3,atoms_H3,20,31536000.0,1.0,1.63516e+17,1.699570502530074e+17,1.1904167424213614e+17,2.426494680505675e+17
cell_3,atoms_H3,20,59927882.4,1.9003006849315067,5.24371e+17,5.452967303957996e+17,3.8194403763862746e+17,7.785133288601894e+17
cell_3,atoms_H3,20,91453924.8,2.8999849315068493,9.04461e+17,9.399083892346223e+17,6.56446866951178e+17,1.345771949916741e+18
cell_3,atoms_H3,20,119824207.2,3.799600684931507,1.5575e+18,1.6171649977647386e+18,1.1307482752613399e+18,2.3128247791410463e+18
