,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC
FW_THICK_CM,1.9736864637279443,0.0,0.0,0.0,4.0749736091221856e-05
PBLI_THICK_CM,0.0,-0.002749939618694186,3.44589593578783e-07,4.844527508517239e-07,1.8781647203387395e-06
SHIELD_THICK_CM,0.0,3.44589593578783e-07,0.0002672093910841037,6.641377840792272e-08,5.593945731055452e-09
VV_THICK_CM,0.0,4.844527508517239e-07,6.641377840792272e-08,-0.007444712074368928,8.359248235623781e-07
LI6_ENRICH_ATOM_FRAC,4.0749736091221856e-05,1.8781647203387395e-06,5.593945731055452e-09,8.359248235623781e-07,0.30375846492311875
